Mahalle,Normal Konteyner Sayısı,Yerüstü Konteyner Sayısı,Konteyner Noktası Sayısı,Toplama Yapılacak Sokak Sayısı,Günlük Toplama Miktarı (L),Servis Gerektiren Yol Oranı (%)
Atatürk,188,17,101,74,174900,21.08
Kuruçeşme,247,37,178,133,289000,34.82
