WKT,ad,adet,tip
"POINT (27.1913811 38.3661874)",205/52. Sk. 2A,1.0,1.0
"POINT (27.1911565 38.3661722)",205/52. Sokak,2.0,1.0
"POINT (27.1922462 38.3672997)",205/27. Sk. No:4,4.0,1.0
"POINT (27.1967577 38.3646991)",205/2. Sk. 89-2,1.0,1.0
"POINT (27.197251 38.3654222)",205/7. Sk. No:49,2.0,1.0
"POINT (27.197187 38.3652115)",205/7. Sk. No:45,2.0,1.0
"POINT (27.1913107 38.3709269)",203/35. Sk. No:17,2.0,1.0
"POINT (27.1940303 38.3703449)",203/20. Sk. No:23,2.0,1.0
"POINT (27.1910196 38.3741721)",Hacı Bektaş Veli Sok. No:42,,
"POINT (27.1888155 38.3735852)",202/50. Sk. No:7,1.0,1.0
"POINT (27.1903499 38.3749412)",202/3. Sk. No:17,2.0,1.0
"POINT (27.1928497 38.3697808)",205. Sk. No:1,2.0,1.0
"POINT (27.1878041 38.36591)",205. Sk. No:90,1.0,1.0
"POINT (27.193126 38.3706641)",205. Sk. No:18,2.0,1.0
"POINT (27.1925151 38.3687783)",205. Sk. No:35,1.0,1.0
"POINT (27.1896522 38.3659661)",205. Sk. No:86,1.0,1.0
"POINT (27.1822866 38.3663829)",200/70. Sk. No:7,2.0,1.0
"POINT (27.1823825 38.3664213)",200/70. Sk. No:3,3.0,1.0
"POINT (27.1841186 38.3660524)",1413. Sk. Park Yanı,2.0,1.0
"POINT (27.1819943 38.3681648)",1413. Sk. No:10,1.0,2.0
"POINT (27.1826251 38.3673768)",1413. Sokak NO:10-12 ARASI
,1.0,2.0
"POINT (27.1854273 38.3656753)",1413. Sk. No:37,1.0,1.0
"POINT (27.1830202 38.3666322)",1413. Sk. No:7/B,2.0,1.0
"POINT (27.1853999 38.3686573)",1406. Sk. No:16,2.0,1.0
"POINT (27.1855472 38.3671191)",1406. Sokak Oluşum Sitesi ,2.0,1.0
"POINT (27.1909441 38.3670047)",205. Sk. 68 A,1.0,1.0
"POINT (27.1908587 38.3669223)",205. Sk. No:72,2.0,1.0
"POINT (27.1915296 38.3673913)",205. Sk. 53-1,1.0,1.0
"POINT (27.1974897 38.366167)",205/12. Sk. No:8,1.0,1.0
"POINT (27.1954424 38.3659007)",205/7. Sk. No:24,2.0,1.0
"POINT (27.1881535 38.3668085)",1409. Sk. No:32,1.0,1.0
"POINT (27.1886245 38.3670927)",1409. Sk. No:34,2.0,1.0
"POINT (27.1895413 38.3679154)",1409. Sk. No:40,1.0,1.0
"POINT (27.1847198 38.3671802)",1415. Sk. No:6 D:a,1.0,1.0
"POINT (27.1853094 38.3672114)",1415. Sk. No:8,1.0,1.0
"POINT (27.183574 38.3679519)",1402. Sokak,1.0,1.0
"POINT (27.1835633 38.3682505)",1402. Sokak,2.0,1.0
"POINT (27.1881531 38.369434)",1412. Sk. No:3,1.0,1.0
"POINT (27.1881597 38.3691989)",1412. Sk. No:5,1.0,1.0
"POINT (27.1881552 38.3692992)",1412. Sk. No:6,1.0,1.0
"POINT (27.1882056 38.3682873)",1412. Sk. No:8,1.0,1.0
"POINT (27.1882002 38.3682305)",1412. Sk. No:8/A,1.0,1.0
"POINT (27.1881411 38.3695639)",1412. Sk. No:4,2.0,1.0
"POINT (27.1882053 38.3681041)",1412. Sk. No:10,1.0,1.0
"POINT (27.1936047 38.3732512)",BUCA ORMAN İŞLETME KARŞISI,2.0,2.0
"POINT (27.1920693 38.3752391)",Dominos Önü,2.0,1.0
"POINT (27.19286 38.3742258)",Tarık Akan Taksi D. Önü,2.0,1.0
"POINT (27.1924393 38.3747715)",Tarık Akan Gençlik M. Önü,2.0,1.0
"POINT (27.1979017 38.3671351)",No:308,2.0,1.0
"POINT (27.1941143 38.3722729)",Hoca Ahmet Yesevi Cd. No:222,1.0,2.0
"POINT (27.1932471 38.372215)",Hoca Ahmet Yesevi Cd. No:207,1.0,2.0
"POINT (27.1921107 38.3721502)",Hoca Ahmet Yesevi Cd. No:199,1.0,2.0
"POINT (27.1889505 38.3726211)",Hoca Ahmet Yesevi Cd. 152-1,1.0,2.0
"POINT (27.1918697 38.3742987)",201/4. Sokak,2.0,1.0
"POINT (27.1926818 38.3692794)",205. Sk. No:29,1.0,1.0
"POINT (27.1919505 38.367956)",205. Sk. No:47,2.0,1.0
"POINT (27.1932746 38.3702404)",203/2 sk Tınaztepe Hastanesi,6.0,1.0
"POINT (27.1863523 38.3666767)",1409. Sk. No:13,3.0,1.0
"POINT (27.1856953 38.3666843)",1409. Sk. No:11,1.0,1.0
"POINT (27.1844565 38.3668018)",1409. Sk. No:18,3.0,1.0
"POINT (27.1884876 38.3669855)",1409. Sk. No:19,1.0,1.0
"POINT (27.1898334 38.3689141)",1409. Sk. No:68,1.0,1.0
"POINT (27.1841184 38.3675988)",MM Migros,1.0,2.0
"POINT (27.1914559 38.3674881)",205/19. Sk. No:10,4.0,1.0
"POINT (27.184465 38.3676991)",1405. Sk. No:19B,1.0,2.0
"POINT (27.185644 38.3677287)",1405. Sk. no:11/E,1.0,2.0
"POINT (27.1866227 38.3677683)",1405. Sk. No:4,1.0,2.0
"POINT (27.1875819 38.3677859)",1407. Sk. No:2,1.0,2.0
"POINT (27.1881845 38.3678104)",1407. Sokak No:3,1.0,2.0
"POINT (27.189154 38.368828)",1403. Sk. No:21,1.0,2.0
"POINT (27.1880332 38.3688721)",1403. Sk. No:34,1.0,2.0
"POINT (27.1836107 38.3686882)",1403. Sk. no 3,1.0,2.0
"POINT (27.1829104 38.3689027)",1416. Sk. No:7,1.0,2.0
"POINT (27.1872513 38.3693471)",1408. Sk. No:4,1.0,2.0
"POINT (27.1871784 38.3694234)",1408. Sk. No:7,1.0,2.0
"POINT (27.1873368 38.3680182)",1408. Sk. No:2,1.0,2.0
"POINT (27.1931212 38.3698559)",Ahmet Piriştina Blv No:9,1.0,2.0
