WKT,ad,açıklama,id,mahalle
"POINT (27.1804297 38.3793658)",Nokta 192,,192.0,ataturk
"POINT (27.1816242 38.3794596)",Nokta 193,,193.0,ataturk
"POINT (27.1821689 38.3804459)",Nokta 194,,194.0,ataturk
"POINT (27.1812373 38.3807717)",Nokta 195,,195.0,ataturk
"POINT (27.1807113 38.3800543)",Nokta 196,,196.0,ataturk
"POINT (27.1798941 38.3804101)",Nokta 197,,197.0,ataturk
"POINT (27.180563 38.3809485)",Nokta 198,,198.0,ataturk
"POINT (27.1806801 38.3809701)",Nokta 199,,199.0,ataturk
"POINT (27.1840378 38.3794268)",Nokta 99,,99.0,ataturk
"POINT (27.1855427 38.3791153)",Nokta 98,,98.0,ataturk
"POINT (27.187081 38.3781275)",Nokta 97,,97.0,ataturk
"POINT (27.1886649 38.3773089)",Nokta 96,,96.0,ataturk
"POINT (27.1897968 38.3768053)",Nokta 95,,95.0,ataturk
"POINT (27.190072 38.3766752)",Nokta 94,,94.0,ataturk
"POINT (27.1905442 38.3764268)",Nokta 93,,93.0,ataturk
"POINT (27.1881195 38.3766158)",Nokta 92,,92.0,ataturk
"POINT (27.1853908 38.3767979)",Nokta 91,,91.0,ataturk
"POINT (27.1846412 38.3777365)",Nokta 90,,90.0,ataturk
"POINT (27.184977 38.3782523)",Nokta 89,,89.0,ataturk
"POINT (27.1803819 38.379518)",Nokta 88,,88.0,ataturk
"POINT (27.1787047 38.3794967)",Nokta 87,,87.0,ataturk
"POINT (27.1786747 38.3796097)",Nokta 86,,86.0,ataturk
"POINT (27.1786176 38.3798411)",Nokta 85,,85.0,ataturk
"POINT (27.1778398 38.3788427)",Nokta 84,,84.0,ataturk
"POINT (27.1788148 38.3790395)",Nokta 83,,83.0,ataturk
"POINT (27.1789915 38.3783436)",Nokta 82,,82.0,ataturk
"POINT (27.1776706 38.3780671)",Nokta 81,,81.0,ataturk
"POINT (27.1785149 38.3803609)",Nokta 80,,80.0,ataturk
"POINT (27.1779029 38.3806187)",Nokta 79,,79.0,ataturk
"POINT (27.1781204 38.3811073)",Nokta 78,,78.0,ataturk
"POINT (27.1795341 38.3807134)",Nokta 77,,77.0,ataturk
"POINT (27.179028 38.3802022)",Nokta 76,,76.0,ataturk
"POINT (27.1773231 38.3810461)",Nokta 75,,75.0,ataturk
"POINT (27.1768755 38.3807781)",Nokta 74,,74.0,ataturk
"POINT (27.1768891 38.3800305)",Nokta 73,,73.0,ataturk
"POINT (27.1774452 38.3798368)",Nokta 72,,72.0,ataturk
"POINT (27.1768258 38.3786789)",Nokta 71,,71.0,ataturk
"POINT (27.1799714 38.3811295)",Nokta 70,,70.0,ataturk
"POINT (27.1797103 38.3812604)",Nokta 69,,69.0,ataturk
"POINT (27.178483 38.3815762)",Nokta 68,,68.0,ataturk
"POINT (27.1800611 38.3759386)",Nokta 67,,67.0,ataturk
"POINT (27.1829867 38.3748465)",Nokta 66,,66.0,ataturk
"POINT (27.1836504 38.3745702)",Nokta 65,,65.0,ataturk
"POINT (27.1832791 38.3747228)",Nokta 64,,64.0,ataturk
"POINT (27.1879149 38.3727503)",Nokta 63,,63.0,ataturk
"POINT (27.1794591 38.38007)",Nokta 62,,62.0,ataturk
"POINT (27.181445 38.3779457)",Nokta 61,,61.0,ataturk
"POINT (27.1819476 38.3777771)",Nokta 60,,60.0,ataturk
"POINT (27.1877184 38.3753969)",Nokta 59,,59.0,ataturk
"POINT (27.1870047 38.3754155)",Nokta 58,,58.0,ataturk
"POINT (27.1804365 38.3810681)",Nokta 57,,57.0,ataturk
"POINT (27.18001 38.3811955)",Nokta 56,,56.0,ataturk
"POINT (27.1774865 38.3818074)",Nokta 55,,55.0,adatepe
"POINT (27.1763868 38.382065)",Nokta 54,,54.0,adatepe
"POINT (27.1763412 38.3821911)",Nokta 53,,53.0,adatepe
"POINT (27.1789656 38.3853864)",Nokta 52,,52.0,adatepe
"POINT (27.1821494 38.3824341)",Nokta 51,,51.0,adatepe
"POINT (27.1736255 38.3744562)",Nokta 50,,50.0,camlikule
"POINT (27.1757471 38.3776231)",Nokta 49,,49.0,camlikule
"POINT (27.1782188 38.3727672)",Nokta 47,,47.0,depo_baglanti
"POINT (27.1781992 38.3736308)",Nokta 48,,48.0,depo_baglanti
"POINT (27.1786115 38.3702573)",Nokta 46,,46.0,depo_baglanti
"POINT (27.1953047 38.3704635)",,,222.0,depo_baglanti
"POINT (27.1954149 38.3702872)",,,220.0,depo_baglanti
"POINT (27.1930836 38.3722019)",,,304.0,depo_baglanti
"POINT (27.18999 38.3699165)",,,332.0,depo_baglanti
"POINT (27.1932873 38.3699882)",,,381.0,depo_baglanti
"POINT (27.1932836 38.3698895)",,,380.0,depo_baglanti
"POINT (27.1886211 38.3726431)",,,239.0,depo_baglanti
"POINT (27.1939465 38.3722495)",,,302.0,depo_baglanti
"POINT (27.1941147 38.3700212)",,,294.0,depo_baglanti
"POINT (27.194115 38.3726168)",,,227.0,depo_baglanti
"POINT (27.1943937 38.3722698)",,,226.0,depo_baglanti
"POINT (27.195564 38.3705649)",,,221.0,depo_baglanti
"POINT (27.1900084 38.3769938)",,,439.0,depo_baglanti
"POINT (27.189235 38.3675666)",,,351.0,depo_baglanti
"POINT (27.1896651 38.3680462)",,,408.0,depo_baglanti
"POINT (27.1897909 38.3687934)",,,438.0,depo_baglanti
"POINT (27.1881757 38.368877)",,,407.0,depo_baglanti
"POINT (27.1882209 38.3678127)",,,350.0,depo_baglanti
"POINT (27.1899871 38.3698061)",,,333.0,depo_baglanti
"POINT (27.1881345 38.3699727)",,,334.0,depo_baglanti
"POINT (27.1853692 38.3698712)",,,337.0,depo_baglanti
"POINT (27.1828545 38.3667282)",,,200.0,depo_baglanti
"POINT (27.1841114 38.3676887)",,,254.0,depo_baglanti
"POINT (27.1854527 38.3677292)",,,344.0,depo_baglanti
"POINT (27.1825753 38.3676263)",,,252.0,depo_baglanti
"POINT (27.1835749 38.3676875)",,,253.0,depo_baglanti
"POINT (27.1835352 38.3685473)",,,341.0,depo_baglanti
"POINT (27.1853911 38.3687866)",,,343.0,depo_baglanti
"POINT (27.1821539 38.368054)",,,251.0,depo_baglanti
"POINT (27.181763 38.3696115)",,,250.0,depo_baglanti
"POINT (27.1872028 38.3688781)",,,403.0,depo_baglanti
"POINT (27.1872732 38.3688782)",,,404.0,depo_baglanti
"POINT (27.1871026 38.3700424)",,,336.0,depo_baglanti
"POINT (27.1872105 38.3700447)",,,335.0,depo_baglanti
"POINT (27.1880545 38.3700672)",,,247.0,depo_baglanti
"POINT (27.1871977 38.3701313)",,,248.0,depo_baglanti
"POINT (27.1872497 38.3676241)",,,347.0,depo_baglanti
"POINT (27.1873245 38.3676283)",,,348.0,depo_baglanti
"POINT (27.1874741 38.36778)",,,349.0,depo_baglanti
"POINT (27.1872632 38.3679373)",,,405.0,depo_baglanti
