WKT,ad,yol_adi,from_node,to_node,uzunluk,tip1_talep,tip2_talep,yon,avgataturk_sefer1_service,avgataturk_sefer1_sira,avgataturk_sefer2_service,avgataturk_sefer2_sira,avg_gecis,azu_gecis,mahalle,trafik_seviyesi
"LINESTRING (27.1881757 38.368877, 27.1882209 38.3678127)",,1412. sk.,350,407.0,119.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.189235 38.3675666, 27.1896651 38.3680462)",,1409.sk.,351,408.0,65.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1882209 38.3678127, 27.1886362 38.3678126, 27.188723 38.367791, 27.189235 38.3675666)",,1407.sk.,350,351.0,95.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1853692 38.3698712, 27.1856395 38.369926, 27.186306 38.3700174, 27.1865109 38.3700343, 27.1871026 38.3700424)",,Ahmet Pristina Blv.,337,336.0,153.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1828545 38.3667282, 27.1827409 38.3668737, 27.1826973 38.366972, 27.1826222 38.3672806, 27.1826117 38.3674928, 27.1825996 38.367557, 27.1825753 38.3676263)",,1412. sk.,200,252.0,104.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1825753 38.3676263, 27.1832447 38.3676606, 27.1835749 38.3676875)",,1405.sk.,252,253.0,88.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1835749 38.3676875, 27.1835352 38.3685473)",,1402.sk.,253,341.0,96.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1835749 38.3676875, 27.1841114 38.3676887)",,1405.sk.,253,254.0,47.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1853692 38.3698712, 27.1853734 38.3697715, 27.1854105 38.3694085, 27.1853911 38.3687866)",,1406. sk.,337,343.0,121.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1853911 38.3687866, 27.1854527 38.3677292)",,1406. sk.,343,344.0,118.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1841114 38.3676887, 27.1854527 38.3677292)",,1405. sk.,344,254.0,117.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.1821539 38.368054, 27.1824569 38.3677659, 27.1825753 38.3676263)",,1413 sk.,251,252.0,60.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
