WKT,ad,yol_adi,from_node,to_node,uzunluk,tip1_talep,tip2_talep,yon,avg297_sefer1_service,avg297_sefer1_sira,ayt275_sefer1_service,ayt275_sefer1_sira,avg_gecis,ayt_gecis,azu_gecis,mahalle
"LINESTRING (27.1953843 38.3662298, 27.1956623 38.3664666)",,205/8 sk.,365,436,36,2100,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1956623 38.3664666, 27.196191 38.3664682)",,205/21 sk.,370,436,46,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.195299 38.3667084, 27.195337 38.3664691, 27.1953441 38.3664084, 27.1953566 38.3663476, 27.1953843 38.3662298)",,205/7 sk.,365,373,54,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1953843 38.3662298, 27.1954126 38.3660623)",,205/7 sk.,365,366,19,700,0,cift,1,28,0,0,1,1,1,kurucesme
"LINESTRING (27.1954126 38.3660623, 27.1957991 38.3660605, 27.195947 38.3660658, 27.1962374 38.3660967)",,205/11 sk.,366,368,72,700,0,cift,1,27,0,0,1,1,1,kurucesme
"LINESTRING (27.1954126 38.3660623, 27.1954501 38.3658498, 27.1954566 38.3657791)",,205/7 sk.,366,367,32,1400,0,cift,1,26,0,0,1,1,1,kurucesme
"LINESTRING (27.1956623 38.3664666, 27.1958813 38.366736)",,205/8 sk.,372,436,36,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.196191 38.3664682, 27.1962284 38.3662712, 27.1962374 38.3660967)",,205/29 sk.,368,370,42,700,0,cift,1,29,0,0,1,1,1,kurucesme
"LINESTRING (27.1926499 38.3691633, 27.1927099 38.3693638, 27.1927709 38.3695294, 27.1927897 38.3695636, 27.1928044 38.3695956, 27.1928664 38.3698356)",,205 sk.,419,435,77,1400,0,cift,1,32,0,0,1,1,1,kurucesme
"LINESTRING (27.1899296 38.3693914, 27.1898779 38.3692055)",,1409 sk.,421,422,21,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1899296 38.3693914, 27.1908062 38.369343)",,203/10 sk.,420,422,77,1400,0,cift,0,0,1,4,0,1,0,kurucesme
"LINESTRING (27.1898779 38.3692055, 27.1905834 38.3691305, 27.1907015 38.3691075)",,205/4 sk.,421,423,73,0,0,cift,0,0,0,0,1,1,0,kurucesme
"LINESTRING (27.1907015 38.3691075, 27.1907592 38.3690815)",,205/4 sk.,423,424,6,0,0,cift,0,0,0,0,1,1,0,kurucesme
"LINESTRING (27.1907592 38.3690815, 27.1914494 38.3690218, 27.1917682 38.3689834, 27.1919922 38.3689603, 27.1925811 38.3688718)",,205/4 sk.,424,425,161,1400,0,cift,0,0,1,6,0,1,0,kurucesme
"LINESTRING (27.1906582 38.3688202, 27.1907015 38.3691075)",,205/14 sk.,423,426,32,0,0,cift,0,0,0,0,1,1,0,kurucesme
"LINESTRING (27.1906582 38.3688202, 27.1906424 38.3686026)",,205/14 sk.,426,427,24,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1901568 38.3670807, 27.1907697 38.3676959)",,205/16 sk.,352,410,87,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1902147 38.3678622, 27.1907697 38.3676959)",,205/19 sk.,409,410,52,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1902147 38.3678622, 27.1905182 38.3683326, 27.1906424 38.3686026)",,205/14 sk.,409,427,91,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1906582 38.3688202, 27.1908208 38.3688013, 27.1910521 38.3687519, 27.1911386 38.368725, 27.1913874 38.3686362, 27.1915771 38.3685542, 27.1920921 38.3683765, 27.1921633 38.3683595)",,205/17 sk.,413,426,142,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1908062 38.369343, 27.1907592 38.3690815)",,205/14 sk.,420,424,29,0,0,cift,0,0,0,0,0,1,0,kurucesme
"LINESTRING (27.1896651 38.3680462, 27.1897909 38.3687934)",,1409 sk.,408,438,183,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1927285 38.366972, 27.1927557 38.3670746)",,205/51 sk.,272,273,12,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1921507 38.3660926, 27.1921652 38.3663329, 27.1921572 38.3665261, 27.1921424 38.3665703, 27.1923094 38.3666996, 27.1926041 38.3668959, 27.1927285 38.366972)",,205/58 sk.,207,273,121,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1941097 38.365419, 27.1941858 38.3656178, 27.194399 38.3659033)",,205/2 sk.,209,277,60,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1941097 38.365419, 27.1942859 38.3654027, 27.194605 38.3653438, 27.1953193 38.365074)",,205/2 sk.,209,210,113,2100,0,cift,1,18,0,0,1,1,1,kurucesme
"LINESTRING (27.1953193 38.365074, 27.1957116 38.3654966)",,205/33 sk.,210,280,58,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1953193 38.365074, 27.1957922 38.3648888, 27.1961328 38.3647763, 27.1964158 38.36472, 27.1966994 38.3646969, 27.1969281 38.3647027, 27.197024 38.3647237, 27.1971078 38.3647742, 27.1971226 38.3647942, 27.1971333 38.3648115, 27.1971608 38.3649256, 27.1971574 38.3650571)",,205/2 sk.,210,211,199,2800,0,cift,1,19,0,0,1,1,1,kurucesme
"LINESTRING (27.1957116 38.3654966, 27.196291 38.3652125)",,205/7 sk.,280,281,60,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.196291 38.3652125, 27.1963526 38.3651527, 27.1965042 38.3650691, 27.1967288 38.3649855, 27.1969025 38.3649839, 27.19705 38.3650108, 27.1971574 38.3650571)",,205/7 sk.,211,281,86,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1954805 38.3656761, 27.1955705 38.3655856, 27.1957116 38.3654966)",,205/7 sk.,279,280,29,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1948816 38.3658658, 27.1949017 38.3657241, 27.1949098 38.3656986, 27.1949249 38.365676, 27.1949594 38.3656445, 27.1950506 38.3655967, 27.195106 38.365573, 27.1951314 38.3655701, 27.1951794 38.3655717, 27.1952853 38.3655917, 27.1954805 38.3656761)",,205/31 sk.,278,279,77,1400,0,cift,1,17,0,0,1,1,1,kurucesme
"LINESTRING (27.1954566 38.3657791, 27.1954805 38.3656761)",,205/7 sk.,279,367,12,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1949038 38.3661991, 27.1948816 38.3658658)",,205/31 sk.,278,364,37,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1949985 38.3666759, 27.195299 38.3667084)",,205/21 sk.,363,373,26,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.196291 38.3652125, 27.1964701 38.3653072, 27.1967924 38.3656829)",,205/10 sk.,281,282,69,2800,0,cift,1,25,0,0,1,1,1,kurucesme
"LINESTRING (27.1954566 38.3657791, 27.1960603 38.3657276, 27.196585 38.3657184, 27.1967924 38.3656829)",,205/35 sk.,282,367,117,1400,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1962374 38.3660967, 27.1962917 38.3661009, 27.196546 38.366127, 27.196795 38.3661638)",,205/11 sk.,284,368,49,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1967924 38.3656829, 27.1968758 38.3658574)",,205/10 sk.,282,283,21,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.196795 38.3661638, 27.1968758 38.3658574)",,205/10 sk.,283,284,35,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1968758 38.3658574, 27.1971064 38.3657318)",,,212,283,25,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1958813 38.366736, 27.1961103 38.3669815)",,205/8 sk.,371,372,34,2100,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1961103 38.3669815, 27.196191 38.3664682)",,205/29 sk.,370,371,58,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1961103 38.3669815, 27.1964923 38.3674799)",,205/8 sk.,288,371,65,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1971064 38.3657318, 27.1972598 38.3659067)",,205/12 sk.,212,213,24,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1972598 38.3659067, 27.1973664 38.3660444, 27.1974764 38.3661527, 27.1977595 38.3663889)",,205/12 sk.,213,214,69,2800,0,cift,1,21,0,0,1,1,1,kurucesme
"LINESTRING (27.1977595 38.3663889, 27.1978765 38.3662897, 27.1979231 38.3662389, 27.1980115 38.3660801, 27.1980766 38.3659352)",,205/59 sk.,214,215,58,2100,0,cift,1,22,0,0,1,1,1,kurucesme
"LINESTRING (27.1977595 38.3663889, 27.197831 38.3664513)",,205/12 sk.,214,216,9,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.197831 38.3664513, 27.1982906 38.3668385, 27.1980297 38.3670403, 27.1977341 38.3672539, 27.1973567 38.3675989, 27.1968124 38.3682279)",,Dogus cd.,217,216,261,1400,3000,tek,1,54,0,0,1,1,1,kurucesme
"LINESTRING (27.1971064 38.3657318, 27.1973011 38.3656373, 27.1971574 38.3650571)",,205/45 sk.,211,212,86,2800,0,cift,1,20,0,0,1,1,1,kurucesme
"LINESTRING (27.1964923 38.3674799, 27.1964481 38.3675717, 27.1964399 38.3680122)",,205/8 sk.,288,289,60,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.192697 38.3659582, 27.1927036 38.3659442, 27.1927238 38.365919, 27.1927586 38.3658956, 27.1928321 38.3658614, 27.1929487 38.3658248, 27.1934435 38.3656957, 27.1936017 38.3656715, 27.1938512 38.3654686, 27.1941097 38.365419)",,205/53 sk.,208,209,142,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1944094 38.3665459, 27.1944195 38.3661295, 27.194399 38.3659033)",,205/2 sk.,276,277,72,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1944016 38.3667041, 27.1947001 38.3666816, 27.1949096 38.3666688, 27.1949985 38.3666759)",,205/21 sk.,362,363,52,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1941938 38.3674616, 27.1943586 38.3669523, 27.1944016 38.3667041)",,205/2 sk.,362,429,86,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1940888 38.367675, 27.1941938 38.3674616)",,205/2 sk.,428,429,25,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1941938 38.3674616, 27.195232 38.3674502)",,205/34 sk.,374,429,91,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1900014 38.3661464, 27.1902505 38.3663297)",,205 sk.,266,267,30,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1902505 38.3663297, 27.1905914 38.3661132)",,,267,268,38,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1905241 38.3660351, 27.1905914 38.3661132)",,205/27 sk.,205,268,10,0,0,cift,0,0,0,0,0,1,0,kurucesme
"LINESTRING (27.1905914 38.3661132, 27.1908376 38.3663476)",,205/27 sk.,268,269,34,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1902505 38.3663297, 27.1907235 38.3667934)",,205 sk.,267,353,66,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1901568 38.3670807, 27.1907235 38.3667934)",,205/23 sk.,352,353,59,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1907235 38.3667934, 27.1910387 38.3670973)",,205 sk.,353,354,44,2100,0,cift,1,7,0,0,1,1,1,kurucesme
"LINESTRING (27.1916049 38.3674365, 27.1916764 38.3674992)",,205 sk.,355,356,9,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1916764 38.3674992, 27.1918791 38.3675828, 27.1921352 38.3677416, 27.1923688 38.3676874)",,205 sk.,356,357,70,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1916764 38.3674992, 27.1917382 38.3676511, 27.1920718 38.3681356)",,205 sk,356,412,79,1400,0,cift,1,34,0,0,1,1,1,kurucesme
"LINESTRING (27.1908062 38.369343, 27.1913952 38.369339, 27.1916017 38.3693222, 27.19176 38.3692927, 27.1926499 38.3691633)",,203/10 sk.,419,420,163,1400,0,cift,0,0,1,5,0,1,0,kurucesme
"LINESTRING (27.1907697 38.3676959, 27.1908686 38.3676716, 27.1910825 38.3676035, 27.1912301 38.3675656, 27.1916049 38.3674365)",,205/19 sk.,355,410,78,2800,0,cift,1,35,0,0,1,1,1,kurucesme
"LINESTRING (27.1906424 38.3686026, 27.1910433 38.3685073, 27.1912763 38.368436)",,205/15 sk.,411,427,58,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1912763 38.368436, 27.1920718 38.3681356)",,205/15 sk.,411,412,77,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1907697 38.3676959, 27.1912763 38.368436)",,205/16 sk.,410,411,94,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1926219 38.3678308, 27.1928936 38.3675453, 27.1930366 38.3673984)",,205/3,358,359,60,0,3000,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1932366 38.3684319, 27.1937208 38.3681983, 27.1939535 38.368147)",,205/6 sk.,376,415,71,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1975113 38.3667139, 27.197831 38.3664513)",,205/9 sk.,216,285,40,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1973929 38.3668142, 27.1975113 38.3667139)",,205/9 sk.,285,286,15,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.196795 38.3661638, 27.1970473 38.3663082, 27.1975113 38.3667139)",,205/11 sk ,284,285,88,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.196795 38.3661638, 27.1967311 38.3665508)",,205/10 sk.,284,369,43,1400,0,cift,1,24,0,0,1,1,1,kurucesme
"LINESTRING (27.1967311 38.3665508, 27.1969536 38.3665793, 27.1970092 38.3665962, 27.1971977 38.3666908, 27.1973929 38.3668142)",,205/30 sk.,369,286,66,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1967311 38.3665508, 27.1967107 38.3668196, 27.1967218 38.3671345, 27.1967558 38.3672805)",,205/10 sk.,287,369,82,2100,0,cift,1,23,0,0,1,1,1,kurucesme
"LINESTRING (27.1964923 38.3674799, 27.1967558 38.3672805)",,205/9 sk.,287,288,32,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1967558 38.3672805, 27.1968517 38.3672911, 27.1973929 38.3668142)",,205/9 sk.,286,287,80,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1964399 38.3680122, 27.1968124 38.3682279)",,205/6 sk.,217,289,40,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.195299 38.3667084, 27.1956218 38.3667419, 27.1958813 38.366736)",,205/21 sk.,372,373,51,2100,0,cift,1,30,0,0,1,1,1,kurucesme
"LINESTRING (27.1953321 38.3679216, 27.1957935 38.3679238, 27.1964399 38.3680122)",,205/6 sk.,289,290,98,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1952217 38.3681477, 27.1959615 38.3682949, 27.1964886 38.3684, 27.1966503 38.3684406)",,203/45 sk.,218,291,129,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1932836 38.3698895, 27.1933092 38.3697706, 27.1933398 38.3695486)",,205/2 sk.,379,380,38,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1928665 38.3698343, 27.1931849 38.3698567, 27.1932836 38.3698895)",,203/36 sk.,435,380,37,0,3000,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1952217 38.3681477, 27.1950455 38.368509, 27.1948077 38.3689642, 27.1946872 38.3692405)",,203/47 sk.,291,292,130,2800,0,cift,0,0,1,9,0,1,0,kurucesme
"LINESTRING (27.1898017 38.3715976, 27.1898569 38.371656, 27.18992 38.3716985, 27.1899421 38.3717038, 27.190119 38.3717152)",,205/1 sk.,322,323,33,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.190119 38.3717152, 27.1901273 38.371978)",,203/40 sk. ,321,322,29,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.190119 38.3717152, 27.1905215 38.3717006)",,205/1 sk.,322,396,35,1400,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1901273 38.371978, 27.190419 38.3719497)",,203/38 sk.,320,321,26,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1885311 38.3721526, 27.1888286 38.3721456, 27.1901273 38.371978)",,203/38 sk.,240,321,141,3500,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.18999 38.3699165, 27.1904796 38.3698966, 27.1917229 38.369919)",,203/36 sk.,402,332,151,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1917229 38.369919, 27.1921076 38.3699191, 27.1929579 38.3699559, 27.1931399 38.3699746, 27.1932873 38.3699882)",,203/36 sk.,381,402,137,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1932873 38.3699882, 27.19348 38.3699979, 27.1940939 38.3700976)",,Ahmet Piristina blv,295,381,72,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1885891 38.3736462, 27.1887707 38.3735938, 27.1892203 38.3734965)",,202/50 sk.,155,238,58,700,0,cift,0,0,0,0,0,1,0,kurucesme
"LINESTRING (27.18791 38.37275, 27.1886211 38.3726431)",,Hoca Ahmet Yesevi cd.,63,239,63,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1886211 38.3726431, 27.1894308 38.3725928, 27.1898988 38.3725508, 27.1901952 38.3725082, 27.1904724 38.3724412)",,Hoca Ahmet Yesevi cd.,239,319,164,700,3000,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1908645 38.3728826, 27.1911174 38.3728645, 27.19145 38.3728466, 27.191674 38.3728319, 27.192085 38.3728224, 27.1923756 38.3728102)",,203/51 sk.,306,317,132,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1911572 38.3722752, 27.1916028 38.3721771)",,Hoca Ahmet Yesevi cd.,391,392,40,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1916028 38.3721771, 27.1918564 38.372147, 27.1920247 38.3721412, 27.1923723 38.3721617)",,Hoca Ahmet Yesevi cd.,305,391,68,0,3000,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1920495 38.3708881, 27.1921179 38.3711068, 27.1921441 38.3711396, 27.1921749 38.3711617, 27.1922128 38.3711721, 27.192248 38.3711751, 27.1923003 38.3711656, 27.1925491 38.3711704, 27.1928652 38.371199)",,203/24 sk.,386,434,94,0,0,cift,0,0,0,0,1,1,0,kurucesme
"LINESTRING (27.1917686 38.3716146, 27.1919534 38.3716625, 27.1922833 38.3717303, 27.192569 38.3718191, 27.1929382 38.3718764)",,205/1 sk.,387,388,106,1400,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1909492 38.3762262, 27.1911615 38.3761205, 27.1912705 38.376055, 27.1913795 38.3759801, 27.1914996 38.3759037, 27.1915422 38.3758773, 27.1916109 38.3758225)",,Dogus cd.,233,232,73,0,3000,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1916109 38.3758225, 27.191732 38.3756458, 27.1919134 38.3754144)",,Dogus cd.,232,231,53,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1919134 38.3754144, 27.1921118 38.3751886)",,Dogus cd.,231,230,31,1400,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1921118 38.3751886, 27.1924182 38.3748001)",,Dogus cd.,230,229,51,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1924182 38.3748001, 27.1926993 38.3744204)",,Dogus cd.,229,228,49,1400,0,tek,1,51,0,0,1,1,1,kurucesme
"LINESTRING (27.190902 38.3732095, 27.1914825 38.3731438, 27.1917018 38.3731148, 27.1921549 38.3730764)",,203/30 sk.,307,393,110,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.191646 38.373526, 27.1919763 38.3735224, 27.1920025 38.3735145, 27.19203 38.3734961, 27.1920488 38.3734645, 27.1920501 38.3733113, 27.1920528 38.3732879, 27.192086 38.3732014, 27.1921549 38.3730764)",,,307,308,83,2100,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1927222 38.3744048, 27.1934267 38.3734856, 27.194115 38.3726168)",,Dogus cd.,228,227,233,1400,6000,tek,1,52,0,0,1,1,1,kurucesme
"LINESTRING (27.193272 38.3722172, 27.1939465 38.3722495)",,Hoca Ahmet Yesevi cd.,302,303,59,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1966503 38.3684406, 27.1968124 38.3682279)",,Dogus cd.,218,217,28,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1958565 38.3694769, 27.1960224 38.3692281, 27.1962407 38.368953, 27.1966503 38.3684406)",,Dogus cd.,219,218,135,0,3000,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1941069 38.3690691, 27.194522 38.3692078)",,205/5 sk.,293,378,39,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1932836 38.3698895, 27.1934951 38.3699413, 27.1941147 38.3700212)",,Ahmet Piristina blv.,380,294,74,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1941147 38.3700212, 27.1942487 38.3697612, 27.1944158 38.369446, 27.194522 38.3692078)",,203/20 sk.,293,294,97,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.194522 38.3692078, 27.1946872 38.3692405)",,205/5 sk.,292,293,15,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1941147 38.3700212, 27.1950317 38.3702754, 27.1953421 38.3703227, 27.1953673 38.3703091, 27.1953891 38.3702983, 27.1954149 38.3702872)",,,294,220,120,0,3000,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1951875 38.3706995, 27.1952345 38.3705726, 27.1953047 38.3704635)",,Dogus cd. ,223,222,28,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1953047 38.3704635, 27.1953004 38.3704453, 27.1952974 38.3704335, 27.1953024 38.3703917, 27.1953088 38.3703749, 27.1953222 38.370351, 27.1953416 38.3703292, 27.1953681 38.370311, 27.1953999 38.3702952, 27.1954149 38.3702872)",,,222,220,24,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1954149 38.3702872, 27.1954911 38.3701157, 27.1956915 38.3698179, 27.1958565 38.3694769)",,Dogus cd.,220,219,98,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1940939 38.3700976, 27.1952926 38.3704221, 27.1953047 38.3704635)",,Ahmet Piristina blv.,222,295,115,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1950147 38.3711632, 27.1951875 38.3706995)",,Dogus cd.,224,223,54,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1947172 38.3718257, 27.1948508 38.3715678, 27.1950147 38.3711632)",,Dogus cd.,225,224,78,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1939465 38.3722495, 27.1940138 38.3722963, 27.1941005 38.3723883, 27.194133 38.3724676, 27.1941295 38.3725363, 27.194115 38.3726168)",,,227,302,47,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.194115 38.3726168, 27.1943937 38.3722698)",,Dogus cd.,227,226,46,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1939465 38.3722495, 27.1940756 38.372271, 27.1942071 38.3722844, 27.1943029 38.3722833, 27.1943937 38.3722698)",,Hoca Ahmet Yesevi cd.,302,226,40,0,3000,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.19054 38.37642, 27.1909492 38.3762262)",,Dogus cd.,93,233,42,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.18983 38.37529, 27.1898461 38.3752839, 27.1902636 38.375049)",,201 sk.,145,235,46,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.18903 38.37413, 27.1890444 38.3741301, 27.189536 38.3738866)",,202/5 sk.,143,237,52,1400,0,cift,0,0,0,0,0,1,0,kurucesme
"LINESTRING (27.18791 38.37275, 27.1884745 38.3734992)",,Metin Goktepe cd,63,140,97,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1884745 38.3734992, 27.1885891 38.3736462)",,Metin Goktepe cd,140,155,19,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1885891 38.3736462, 27.1887614 38.3738374, 27.18876 38.37385)",,Metin Goktepe cd,142,155,27,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.18876 38.37385, 27.1888312 38.373914, 27.1888984 38.3739874, 27.18903 38.37413)",,Metin Goktepe cd,142,143,39,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.18903 38.37413, 27.1892439 38.3743666, 27.1894666 38.3746673, 27.18983 38.37529)",,Metin Goktepe cd,143,145,147,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.18983 38.37529, 27.19054 38.37642)",,Metin Goktepe cd,93,145,140,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1916525 38.3716274, 27.1917686 38.3716146)",,203/37 sk.,388,389,10,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1946872 38.3692405, 27.1958565 38.3694769)",,205/5 sk.,292,219,105,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1899869 38.3697981, 27.1899871 38.3698061, 27.1906633 38.3697984, 27.1918499 38.3698285, 27.1928665 38.3698343)",,203/36 sk.,333,435,297,0,9000,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1954149 38.3702872, 27.1954876 38.3702755, 27.1955513 38.370286, 27.1955711 38.3702923, 27.1956036 38.3703083, 27.1956345 38.3703338, 27.1956687 38.3703806, 27.1956729 38.3704439, 27.1956615 38.3704793, 27.19564 38.3705085, 27.1956172 38.3705301, 27.195564 38.3705649)",,,220,221,51,0,0,tek,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.195564 38.3705649, 27.1955399 38.3705659, 27.1955154 38.3705698, 27.1954899 38.3705698, 27.1954644 38.3705698, 27.1954158 38.3705593, 27.1953927 38.3705525, 27.1953645 38.3705341, 27.1953474 38.3705235, 27.1953317 38.3705096, 27.1953142 38.3704875, 27.1953047 38.3704635)",,,221,222,28,0,0,tek,0,0,0,0,1,1,1,kurucesme
