WKT,ad,from_node,to_node,uzunluk,tip1_talep,tip2_talep,yon,avg_gecis,ayt_gecis,azu_gecis,mahalle
"LINESTRING (27.1882209 38.3678127, 27.1886362 38.3678126, 27.188723 38.367791, 27.189235 38.3675666)",,350.0,351.0,95.0,0.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1864022 38.3666741, 27.1872225 38.3667221, 27.1872888 38.3667195)",,257.0,262.0,78.0,0.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.187351 38.3667212, 27.187416 38.3667315, 27.1880315 38.3667652, 27.1882086 38.3668188, 27.1884095 38.3669195)",,263.0,264.0,97.0,700.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1828545 38.3667282, 27.1833686 38.3663916)",,200.0,201.0,58.0,1400.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1833686 38.3663916, 27.1838429 38.3661625, 27.1843344 38.3659796, 27.1848245 38.3658087, 27.1856034 38.3656394)",,201.0,202.0,213.0,2100.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1833686 38.3663916, 27.1836009 38.3666883, 27.1837062 38.3669194, 27.1838011 38.3669392, 27.184166 38.3670711)",,201.0,255.0,110.0,0.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.184166 38.3670711, 27.18462 38.3671665, 27.1850599 38.367196, 27.1855385 38.3672189)",,255.0,345.0,121.0,1400.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1855385 38.3672189, 27.1855824 38.3666638)",,256.0,345.0,62.0,1400.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1855824 38.3666638, 27.1862187 38.3666771, 27.1864022 38.3666741)",,256.0,257.0,72.0,2800.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1856034 38.3656394, 27.1864646 38.3655608)",,202.0,203.0,76.0,0.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.184166 38.3670711, 27.1843337 38.366891, 27.1846424 38.3666926, 27.1848365 38.3666534, 27.1854256 38.3666539, 27.1855824 38.3666638)",,255.0,256.0,142.0,2100.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1856034 38.3656394, 27.1856171 38.365776, 27.1856138 38.3660173, 27.1855849 38.3661371, 27.1855824 38.3666638)",,202.0,256.0,114.0,0.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.184166 38.3670711, 27.1841366 38.3671508, 27.1841246 38.3672139, 27.1841273 38.3673406, 27.1841114 38.3676887)",,254.0,255.0,69.0,700.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1841114 38.3676887, 27.1854527 38.3677292)",,254.0,344.0,117.0,0.0,3000.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1855385 38.3672189, 27.1854527 38.3677292)",,344.0,345.0,57.0,0.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1801155 38.3664494, 27.1812279 38.3663616, 27.181878 38.3663359, 27.1821543 38.3663532, 27.1823374 38.3664032, 27.1824768 38.3664713, 27.1828545 38.3667282)",,0.0,200.0,253.0,3500.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1873489 38.3661447, 27.1873726 38.3662118, 27.187386 38.3662807, 27.187351 38.3667212)",,261.0,263.0,65.0,0.0,0.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1873489 38.3661447, 27.1873107 38.3662902, 27.1872888 38.3667195)",,262.0,261.0,64.0,0.0,0.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.187351 38.3667212, 27.1872888 38.3667195)",,262.0,263.0,5.0,0.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1872105 38.3700447, 27.187251 38.3700439, 27.1881345 38.3699727)",,335.0,334.0,79.0,0.0,6000.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1871026 38.3700424, 27.1872105 38.3700447)",,336.0,335.0,9.0,0.0,0.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1872732 38.3688782, 27.1881757 38.368877)",,404.0,407.0,79.0,0.0,3000.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1872732 38.3688782, 27.1872476 38.3691622, 27.1872496 38.3695176, 27.1872105 38.3700447)",,404.0,335.0,130.0,0.0,3000.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1872028 38.3688781, 27.1872732 38.3688782)",,403.0,404.0,6.0,0.0,0.0,cift,1.0,1.0,1.0,kurucesme
