WKT,ad,id
"POINT (27.1906424 38.3686026)",,427.0
"POINT (27.1906582 38.3688202)",,426.0
"POINT (27.1920718 38.3681356)",,412.0
"POINT (27.1907015 38.3691075)",,423.0
"POINT (27.1907592 38.3690815)",,424.0
"POINT (27.1908062 38.369343)",,420.0
"POINT (27.1927557 38.3670746)",,272.0
"POINT (27.1923688 38.3676874)",,357.0
"POINT (27.192884 38.3679674)",,414.0
"POINT (27.1916049 38.3674365)",,355.0
"POINT (27.1930366 38.3673984)",,359.0
"POINT (27.1940888 38.367675)",,428.0
"POINT (27.1926219 38.3678308)",,358.0
"POINT (27.1939535 38.368147)",,376.0
"POINT (27.1932366 38.3684319)",,415.0
"POINT (27.194399 38.3659033)",,277.0
"POINT (27.1944094 38.3665459)",,276.0
"POINT (27.1944016 38.3667041)",,362.0
"POINT (27.1883799 38.3717866)",,326.0
"POINT (27.1893246 38.3706944)",,330.0
"POINT (27.1893497 38.3716901)",,324.0
"POINT (27.1916855 38.3706203)",,400.0
"POINT (27.1925032 38.3708727)",,437.0
"POINT (27.1917229 38.369919)",,402.0
"POINT (27.1917042 38.3703701)",,401.0
"POINT (27.1932361 38.3704181)",,382.0
"POINT (27.1886211 38.3726431)",,239.0
"POINT (27.1904724 38.3724412)",,319.0
"POINT (27.1954566 38.3657791)",,367.0
"POINT (27.1885891 38.3736462)",,155.0
"POINT (27.1927285 38.366972)",,273.0
"POINT (27.1902505 38.3663297)",,267.0
"POINT (27.1905914 38.3661132)",,268.0
"POINT (27.1907235 38.3667934)",,353.0
"POINT (27.1916764 38.3674992)",,356.0
"POINT (27.1941938 38.3674616)",,429.0
"POINT (27.1912763 38.368436)",,411.0
"POINT (27.1967311 38.3665508)",,369.0
"POINT (27.1973929 38.3668142)",,286.0
"POINT (27.1946872 38.3692405)",,292.0
"POINT (27.1901273 38.371978)",,321.0
"POINT (27.190119 38.3717152)",,322.0
"POINT (27.1939465 38.3722495)",,302.0
"POINT (27.18791 38.37275)",,63.0
"POINT (27.18876 38.37385)",,142.0
"POINT (27.1884745 38.3734992)",,140.0
"POINT (27.18903 38.37413)",,143.0
"POINT (27.18983 38.37529)",,145.0
"POINT (27.1941147 38.3700212)",,294.0
"POINT (27.194522 38.3692078)",,293.0
"POINT (27.194115 38.3726168)",,227.0
"POINT (27.1943937 38.3722698)",,226.0
"POINT (27.195564 38.3705649)",,221.0
"POINT (27.1900084 38.3769938)",,439.0
"POINT (27.1896153 38.3659436)",,204.0
"POINT (27.1864646 38.3655608)",,203.0
"POINT (27.1864022 38.3666741)",,257.0
"POINT (27.1884095 38.3669195)",,264.0
"POINT (27.1894878 38.3665559)",,265.0
"POINT (27.189235 38.3675666)",,351.0
"POINT (27.1896651 38.3680462)",,408.0
"POINT (27.1897909 38.3687934)",,438.0
"POINT (27.1881757 38.368877)",,407.0
"POINT (27.1882209 38.3678127)",,350.0
"POINT (27.1899871 38.3698061)",,333.0
"POINT (27.1881345 38.3699727)",,334.0
"POINT (27.1853692 38.3698712)",,337.0
"POINT (27.1856034 38.3656394)",,202.0
"POINT (27.1833686 38.3663916)",,201.0
"POINT (27.1828545 38.3667282)",,200.0
"POINT (27.1855824 38.3666638)",,256.0
"POINT (27.1855385 38.3672189)",,345.0
"POINT (27.184166 38.3670711)",,255.0
"POINT (27.1841114 38.3676887)",,254.0
"POINT (27.1854527 38.3677292)",,344.0
"POINT (27.1825753 38.3676263)",,252.0
"POINT (27.1835749 38.3676875)",,253.0
"POINT (27.1835352 38.3685473)",,341.0
"POINT (27.1853911 38.3687866)",,343.0
"POINT (27.18641 38.3660389)",,258.0
"POINT (27.1879672 38.3658789)",,260.0
"POINT (27.187351 38.3667212)",,263.0
"POINT (27.1873489 38.3661447)",,261.0
"POINT (27.1872888 38.3667195)",,262.0
"POINT (27.1873193 38.3659808)",,259.0
"POINT (27.1801155 38.3664494)",,0.0
"POINT (27.1821539 38.368054)",,251.0
"POINT (27.181763 38.3696115)",,250.0
"POINT (27.1872028 38.3688781)",,403.0
"POINT (27.1872732 38.3688782)",,404.0
"POINT (27.1871026 38.3700424)",,336.0
"POINT (27.1872105 38.3700447)",,335.0
"POINT (27.1880545 38.3700672)",,247.0
"POINT (27.1871977 38.3701313)",,248.0
"POINT (27.1872497 38.3676241)",,347.0
"POINT (27.1873245 38.3676283)",,348.0
"POINT (27.1874741 38.36778)",,349.0
"POINT (27.1872632 38.3679373)",,405.0
"POINT (27.1873437 38.3679289)",,406.0
"POINT (27.1870712 38.3677853)",,346.0
"POINT (27.1829332 38.3684797)",,340.0
"POINT (27.1828693 38.3695281)",,338.0
"POINT (27.1835355 38.3686804)",,342.0
"POINT (27.1829417 38.3686884)",,339.0
"POINT (27.1870867 38.3701333)",,249.0
"POINT (27.1876637 38.3719601)",,242.0
"POINT (27.1876882 38.3709725)",,244.0
"POINT (27.19054 38.37642)",,93.0
