WKT,ad,açıklama,fid,adet,tip,mahalle
"POINT (27.1815341 38.3806748)",63. Sokak NO:54,,,2.0,1.0,ataturk
"POINT (27.1838556 38.3787295)",204/10. Sk. No:2,,,3.0,1.0,ataturk
"POINT (27.1842842 38.3785314)",204/10. Sk. No:14,,,3.0,1.0,ataturk
"POINT (27.1846499 38.378398)",204/10. Sk. No:18,,,2.0,1.0,ataturk
"POINT (27.1847461 38.3778885)",204/34. Sk. No:9,,,3.0,1.0,ataturk
"POINT (27.1834751 38.3775223)",202/14. Sk. No:10,,,3.0,1.0,ataturk
"POINT (27.1821789 38.3777828)",202/14. Sokak Çamlık,,,3.0,1.0,ataturk
"POINT (27.1810038 38.3782149)",204/21. Sk. No:13,,,3.0,1.0,ataturk
"POINT (27.1778997 38.3781223)",204/7. Sokak,,,2.0,1.0,ataturk
"POINT (27.1805138 38.3789105)",204/4. Sk. No:36,,,2.0,1.0,ataturk
"POINT (27.1803922 38.3794324)",207. Sk. No:52,,,3.0,1.0,ataturk
"POINT (27.1881734 38.3766902)",202/42. Sokak,,,2.0,1.0,ataturk
"POINT (27.1878742 38.3762629)",202/42. Sk No:8,,,2.0,1.0,ataturk
"POINT (27.176876 38.3805551)",218. Sk. No:19,,,3.0,1.0,ataturk
"POINT (27.184438 38.3759837)",202/15. Sokak,,,1.0,1.0,ataturk
"POINT (27.1777436 38.3774354)",Ali Rıza Efendi İlkokulu,,,3.0,1.0,ataturk
"POINT (27.177851 38.3774217)",Ali Rıza Efendi İlkokulu Yanı,,,2.0,1.0,ataturk
"POINT (27.1776162 38.3774501)",Ali Rıza Efendi İlkokulu,,,4.0,1.0,ataturk
"POINT (27.1736974 38.3746097)",220. Sk. No:107,,,3.0,1.0,camlikule
"POINT (27.174019 38.3753354)",220. Sk. No:110,,,2.0,1.0,camlikule
"POINT (27.1749071 38.3766791)",220. Sk. No:102,,,1.0,1.0,camlikule
"POINT (27.1751831 38.3771148)",Buca Belediyesi Afet Koordinasyon Merkezi - BUCAKUT,,,1.0,1.0,camlikule
"POINT (27.1756954 38.3775711)",Buca Belediyesi Afet Koordinasyon Merkezi - BUCAKUT KÖŞE,,,3.0,1.0,camlikule
"POINT (27.1849026 38.378153)",204/34. Sokak KÖŞE,,,3.0,1.0,ataturk
"POINT (27.1767467 38.3773377)",Hoca Ahmet Yesevi Cd. No:2,,,1.0,1.0,ataturk
"POINT (27.1843981 38.374279)",Hoca Ahmet Yesevi Caddesi No:90,,,1.0,1.0,ataturk
"POINT (27.1854702 38.3737111)",Hoca Ahmet Yesevi Cd. No:108,,,1.0,1.0,ataturk
"POINT (27.189547 38.3768706)",63. Sk. no 110/B,,,1.0,2.0,ataturk
"POINT (27.1842721 38.3793285)",63. Sk. No: 106,,,1.0,2.0,ataturk
"POINT (27.1902724 38.3765545)",63. Sk. No:114,,,1.0,2.0,ataturk
"POINT (27.1810635 38.3808296)",63. Sk. No:11,,,1.0,2.0,ataturk
"POINT (27.1797816 38.3812187)",63. Sk. No:42,,,2.0,2.0,ataturk
"POINT (27.1868968 38.3782232)",Seramiksan Buca Yapı,,,1.0,1.0,ataturk
